C1,C2,C3,C4,C5,C6
B,,,A산,nan,-0.22859150219466975
C,2.0,,바다1G,nan,1.168113681698294
B,3.0,,바다2,a,0.17125207874927362
F,,,산1,a,-0.6092454466351614
A,1.0,2.0,산2,a,1.6088636290360756
A,1.0,3.0,바다2,nan,-0.8731013174713749
E,2.0,,DD산,nan,1.2250125690961253
C,2.0,,A산,nan,0.7050078874655618
F,2.0,,바다1G,nan,-0.059352065923789686
F,,,바다B,a,1.1587637759637013
D,,2.0,산2,nan,-0.8835555827023042
F,3.0,,바다B,nan,1.040858110593109
A,,2.0,계곡1,nan,0.2705847704622653
C,1.0,,산2,c,-0.21940236137334268
D,3.0,,바다B,a,-0.47889732579042
D,2.0,,바다1G,c,0.8423690196445339
B,1.0,,A산,c,-0.06746539953519162
C,2.0,1.0,A산,nan,0.09189497379483778
E,1.0,,바다B,nan,0.14541897067983012
B,,,바다2,a,-0.6325965949121679
B,3.0,1.0,계곡1,c,0.3037517721971712
F,1.0,,A산,b,-0.033322521704236004
B,1.0,2.0,바다B,a,0.022784512000502195
E,3.0,1.0,바다B,nan,0.9676288459566349
B,3.0,,바다2,nan,0.9302734403296413
D,3.0,,A산,c,-2.3167449865020497
E,3.0,,산1,c,0.46696324551637464
C,3.0,3.0,계곡1,a,0.6135658751948978
B,1.0,,바다B,c,0.6117283948696942
A,,,바다2,a,1.7374220742669162
A,,,바다1G,b,0.7805370942551341
B,1.0,1.0,산1,a,1.2975172499282253
D,1.0,,산1,a,0.36009887036755983
F,,2.0,A산,c,-1.4673830716515441
E,2.0,,산2,a,-1.1700173004580263
B,3.0,1.0,바다B,c,0.09985953007632997
E,1.0,3.0,바다1G,b,-1.5173036567506133
C,2.0,2.0,바다2,nan,-1.100791029616543
A,3.0,2.0,DD산,b,0.02125294483518346
B,2.0,1.0,DD산,a,-0.013470705532921498
C,1.0,1.0,계곡1,b,-0.5149802462886188
A,1.0,,계곡1,a,0.05513625908976004
D,,,산1,nan,1.469009479436672
E,1.0,3.0,계곡1,nan,0.5080599273122228
C,,3.0,산2,b,0.6027768486928032
A,2.0,3.0,바다1G,c,1.1185172885963968
B,,,A산,nan,-0.5349543338735668
B,3.0,,A산,nan,-0.31392945492640084
A,2.0,1.0,산2,a,-1.2532015142154218
E,3.0,3.0,바다2,c,0.6915322290520702
B,,,산1,a,-0.17796476815047899
A,1.0,,바다1G,b,0.7643337420692794
F,,3.0,바다1G,b,-1.0596521658765463
B,1.0,,바다1G,a,0.07635563488771402
C,2.0,3.0,산1,b,-0.4063469392156318
C,3.0,1.0,바다B,b,0.3546250389924491
E,3.0,,산1,c,0.650875944839431
F,,3.0,바다1G,c,-0.6952977564592262
F,2.0,,바다1G,nan,-0.11671723936798714
D,3.0,2.0,계곡1,c,-0.03782265499889672
E,2.0,3.0,계곡1,a,-1.075583182915871
C,3.0,,DD산,a,0.19664775995526035
E,3.0,,바다2,c,-0.7895815110422328
F,2.0,3.0,DD산,nan,-0.975819003401765
D,,2.0,DD산,a,-0.3711611505662441
C,2.0,,산1,nan,0.16251059178938326
B,3.0,,산1,c,-0.18738565218366326
C,2.0,2.0,바다B,nan,0.03854129499176081
E,1.0,1.0,계곡1,b,-0.4775285458351348
F,2.0,2.0,바다B,nan,0.3770271819951332
C,2.0,,A산,c,-0.09593585578101287
A,,,A산,a,0.4778287456340676
C,1.0,,계곡1,nan,1.3044445951985228
A,1.0,,산1,b,0.37367758491305997
D,3.0,,A산,a,0.27058995427379534
D,1.0,3.0,계곡1,a,0.6420787802848635
C,3.0,,A산,nan,0.9430145706845555
B,,2.0,바다2,c,0.8960251377152325
A,3.0,,산2,c,0.13138325534721154
D,3.0,,A산,nan,-0.3600668396358642
B,1.0,3.0,산2,c,-0.08399754085223687
D,3.0,3.0,바다B,b,-1.924288968956273
D,3.0,2.0,산1,nan,1.3015607499585244
C,1.0,,바다2,nan,3.426618343536711
B,1.0,,산1,a,-1.0258240242938463
D,1.0,2.0,DD산,c,-0.7091939103585505
C,1.0,1.0,A산,nan,-0.09180461020644227
E,,3.0,계곡1,c,-2.3789828823606047
E,2.0,,바다B,b,-0.0508784763627925
F,,,계곡1,a,0.24178017172295818
B,,3.0,계곡1,b,0.1942860345919233
D,,,A산,nan,-0.7609064475038433
B,,1.0,바다B,nan,1.651423815907942
B,3.0,,A산,nan,0.5674567487824871
F,3.0,3.0,바다B,nan,-1.8225347750586227
A,,,계곡1,nan,-0.6376506180031528
D,1.0,,바다2,c,0.5768888626422217
F,3.0,3.0,바다B,c,0.6663654011773353
B,1.0,,산1,nan,0.8284057661846992
A,3.0,2.0,바다B,a,-0.653715279284167
B,3.0,,바다1G,nan,-0.6247219477644809
B,3.0,2.0,A산,nan,0.5001809964371887
F,3.0,,계곡1,c,0.3404182264471475
D,3.0,,A산,nan,-0.9335366761317673
B,,1.0,바다2,nan,-0.7647193144507531
C,3.0,3.0,바다2,nan,0.16402057332768236
E,1.0,,바다2,nan,-0.007321343808088157
D,,2.0,산1,b,-0.3647053786749758
D,3.0,1.0,산1,nan,-1.110300464008409
C,3.0,3.0,바다B,a,0.7730389772742684
D,1.0,1.0,DD산,nan,0.4460957616680371
B,3.0,1.0,바다2,b,-0.9673957818841579
E,1.0,2.0,바다2,nan,-0.7845826644310727
F,1.0,,바다B,a,-0.2453617081746536
B,2.0,,계곡1,b,0.8097059991937646
D,,2.0,산2,a,-0.5125422602859881
D,2.0,,DD산,a,2.1186050921777975
C,3.0,1.0,계곡1,c,-0.43802835172497173
A,1.0,,바다B,b,0.38034795888440476
C,1.0,,산2,a,-0.2018676852978042
E,1.0,1.0,A산,a,-0.008787354281310842
A,3.0,,바다1G,c,0.4710597184429031
C,2.0,2.0,바다1G,nan,-0.5197555580829464
A,2.0,,바다2,b,-0.9060415433355542
E,2.0,,계곡1,b,-0.863949091309311
B,3.0,2.0,바다1G,a,0.9935914622786808
F,1.0,,계곡1,b,0.09242648576397779
B,1.0,,바다B,nan,-0.3409764333331975
C,,,바다1G,b,0.24687003458534948
B,,3.0,A산,c,-0.023579979272564233
B,2.0,2.0,바다1G,nan,-0.06029646494334801
F,3.0,,산2,nan,-0.6095956784220652
D,2.0,3.0,계곡1,b,-1.1035590938672162
D,3.0,,산2,a,-0.7596299734038813
A,,,산2,a,0.6946078199321645
C,2.0,2.0,산1,a,0.8661593121148125
B,2.0,,DD산,nan,-0.48003652772253524
F,,3.0,산2,b,-1.163908087606983
E,1.0,3.0,바다2,nan,1.0878266556284961
D,,1.0,산1,b,-0.042440178355602584
D,3.0,,A산,nan,0.17351844371834169
F,3.0,3.0,산1,a,0.24893367978677994
C,1.0,,DD산,nan,-0.7592288116717285
C,,3.0,바다B,nan,-0.1443830287926391
B,1.0,,바다B,nan,-1.7071097288609314
A,,,바다2,nan,-0.5333836237214084
F,3.0,2.0,A산,b,-0.20396877350002093
E,,2.0,바다1G,a,0.4628702333696026
A,1.0,,바다B,nan,-0.16798809700291542
F,,,A산,a,-0.5988085796836359
C,2.0,,산1,b,0.8514037702396902
E,,,DD산,nan,-0.011158694444846809
F,2.0,,A산,nan,2.0865967671760233
F,2.0,3.0,DD산,c,0.3593186810779657
A,,,바다2,a,-0.9331749689674229
B,,,바다2,nan,-1.228148143962569
A,3.0,,바다2,b,0.37791147894739546
B,2.0,2.0,바다1G,c,-0.8069711642638778
B,3.0,,계곡1,c,-1.9499671210220724
D,1.0,2.0,산1,nan,-0.771139393579161
B,1.0,2.0,계곡1,nan,-1.5566207570675625
E,3.0,1.0,A산,a,-1.061315274330345
F,3.0,,산2,c,1.735129379832323
E,1.0,,A산,b,-1.268238347653616
B,1.0,,산2,nan,-0.535413540372876
B,1.0,,바다2,nan,0.3239726225294155
C,1.0,3.0,계곡1,b,-0.7284762338873957
A,1.0,3.0,A산,b,2.191652142955574
C,,3.0,DD산,b,-0.8785125407337782
A,1.0,,DD산,a,0.5778951263942774
E,,2.0,바다1G,nan,1.0648729943474555
E,,2.0,산2,a,2.7440842809353763
C,3.0,2.0,바다2,a,0.9288225351046258
E,3.0,1.0,바다B,nan,0.4804013894659589
C,2.0,1.0,산2,c,0.4364156314420987
E,,2.0,바다B,b,-0.04004729974987443
A,,,바다1G,c,-1.6062295641252047
B,2.0,,바다1G,a,1.0142782036670053
F,,2.0,계곡1,b,-0.5287119234545933
D,3.0,1.0,A산,b,0.8153458563136438
D,2.0,,DD산,nan,0.8824632960836755
E,1.0,,계곡1,b,0.3018246961992461
C,3.0,,바다B,nan,-1.1553651821216193
E,,1.0,산2,b,-0.37956451124277046
E,,,바다B,nan,1.3057195031305455
A,1.0,3.0,산2,c,0.7493702861158247
F,3.0,,산1,nan,0.14949925850336465
E,2.0,2.0,산1,c,1.4515225428823164
C,,2.0,A산,nan,0.7462396657486337
B,1.0,,산1,nan,-1.3947668822330441
E,2.0,,바다2,c,-0.07757308641602562
C,2.0,,산2,b,0.17466291145314275
B,3.0,2.0,바다B,b,0.1998466956776815
E,,,계곡1,nan,-0.03845847219363635
F,1.0,,A산,a,0.8799765728721851
F,,1.0,산2,nan,-1.273690000891724
C,3.0,,산2,nan,-1.0587845024671383
A,1.0,,바다2,nan,-0.17669224891296104
C,,,산1,c,0.14326801531844136
E,,,DD산,nan,1.6653091833448233
B,1.0,,계곡1,nan,-0.47317589256094694
E,,2.0,바다2,nan,-0.8370687371882126
B,2.0,,A산,nan,-0.09181246377959906
B,3.0,1.0,DD산,c,-0.4855595612438255
D,,,A산,nan,-1.600065957077643
E,3.0,3.0,DD산,a,-0.6138484461403542
A,2.0,1.0,바다B,a,-0.3822052903143608
D,2.0,2.0,DD산,b,-0.45754174941056
B,3.0,3.0,바다1G,b,-1.2874684907682992
D,1.0,,바다2,nan,-0.6225072700129951
D,3.0,,산1,c,-0.7773839636363679
B,2.0,3.0,DD산,b,-0.972061154507413
C,,3.0,DD산,b,1.209975564913573
C,3.0,1.0,바다B,a,-1.1633294433070276
A,1.0,2.0,A산,b,1.1129801012176512
F,2.0,,계곡1,b,-0.8935030010167632
C,2.0,1.0,바다1G,nan,-0.09518374432343463
C,2.0,1.0,계곡1,nan,-2.2145297115682308
B,,,바다1G,b,-1.299954132850349
B,3.0,2.0,바다B,a,-1.3991469865605615
B,1.0,,산2,b,-0.8185801602918268
B,1.0,,A산,a,-0.8147037578960314
D,3.0,2.0,산1,c,-1.1959227116741353
F,3.0,1.0,바다1G,b,-0.9382165316191962
B,,,바다1G,nan,-1.2927491542872203
B,1.0,,산1,nan,0.3955850704599874
A,3.0,,계곡1,nan,-0.3474098645504432
E,2.0,,바다2,a,0.6164760784519127
C,1.0,,바다1G,c,-2.6796022716001837
E,2.0,3.0,바다2,b,-2.4746697862431715
B,,1.0,A산,nan,-0.16252848968021558
A,3.0,,계곡1,a,-0.28007820041211995
F,,3.0,A산,nan,1.033209004880028
A,2.0,,바다B,b,-0.7857871129255222
D,2.0,3.0,바다B,a,0.7077471872796763
F,,,바다1G,a,0.7031674496169404
D,1.0,,DD산,nan,1.1178861563254188
E,3.0,,계곡1,c,-0.5790782036858685
E,1.0,,산1,c,-0.9086760141901645
B,1.0,2.0,A산,c,-0.7019193744115799
C,2.0,,바다1G,nan,1.3303635965584986
D,,,A산,c,-0.9137050768354672
C,1.0,,DD산,c,-1.3539760466117534
B,,,계곡1,a,2.0068920290728793
F,,1.0,계곡1,c,-0.6453225114385398
D,,,산2,nan,-0.6839681444224781
C,3.0,3.0,산1,a,1.3061172186471899
C,2.0,,DD산,nan,-1.107929566808389
B,3.0,,DD산,nan,0.8366495006016946
C,,,산1,b,0.132747399459977
B,3.0,,바다1G,a,-0.4821407042510793
F,1.0,3.0,바다B,nan,0.4641979364832379
A,,3.0,바다2,nan,0.9352068068212088
A,1.0,,바다B,nan,-0.15732508649350263
F,3.0,3.0,바다B,b,-1.592457166749752
C,2.0,,계곡1,a,-0.32595917344084624
C,3.0,3.0,산2,b,-1.7130964428324875
B,3.0,,A산,a,0.7981592544677532
D,3.0,,산1,a,-0.5573219455155776
F,1.0,,DD산,b,2.011557019503049
F,,2.0,바다1G,b,-1.3097840390927509
C,3.0,3.0,산1,b,-1.310558026026178
F,1.0,1.0,바다1G,b,-1.0909069250546999
C,1.0,,계곡1,a,-0.5422309084848809
F,,1.0,산2,nan,0.2827166578161607
E,,,A산,a,-0.49577251338413286
B,3.0,3.0,DD산,nan,-0.0078099966408987495
F,1.0,3.0,A산,nan,1.309123168151762
D,2.0,2.0,산2,nan,0.6500845133429483
A,3.0,,A산,nan,0.9258233830750501
B,,2.0,산2,b,-1.0111823477678958
D,,2.0,A산,nan,-0.07011492960201211
C,3.0,2.0,산1,a,1.2452565883273934
E,1.0,,바다2,c,-0.6734458222106454
B,2.0,,계곡1,nan,-0.4128418581007143
A,,2.0,DD산,nan,1.0265182232293937
F,1.0,2.0,A산,a,0.6195282545706242
C,,,DD산,nan,1.0160711307378143
C,2.0,,DD산,nan,0.0599173203269763
F,,3.0,바다1G,c,-0.057434016552541566
E,2.0,3.0,바다2,nan,1.5076225790733786
B,3.0,2.0,DD산,a,0.5589962250950903
A,3.0,,산1,c,0.2515278374860414
F,3.0,,산1,a,-0.8466453877009947
A,3.0,,바다2,a,-0.09101693965549097
E,3.0,3.0,바다B,nan,0.736420379442005
B,2.0,3.0,DD산,nan,0.6550100059716761
B,1.0,3.0,바다B,b,-0.1166610262604025
E,3.0,,산2,nan,-0.6084044633384585
D,1.0,3.0,계곡1,b,2.1621899838392165
F,2.0,3.0,산2,nan,-0.38205149493632007
C,1.0,,산1,nan,-0.09018547478293774
F,1.0,3.0,계곡1,b,1.3531354408457463
E,,,DD산,nan,1.3737790146194053
D,1.0,,바다2,c,2.221170006646119
E,,,바다B,a,0.08683543128808685
E,,1.0,DD산,b,-0.8463314865418161
F,2.0,1.0,DD산,nan,-0.7273827538451101
B,2.0,3.0,A산,nan,0.6672576880148832
C,3.0,2.0,A산,a,1.905243956861742
B,2.0,,A산,a,-1.1189958998942715
A,1.0,3.0,A산,a,1.9520427926467785
A,3.0,,계곡1,b,1.4124304580192721
D,3.0,1.0,바다B,nan,0.14101515157387134
E,2.0,1.0,계곡1,nan,-0.8771099382886307
F,1.0,1.0,계곡1,a,0.7389872546119662
E,2.0,,바다1G,nan,-0.6486518079084942
A,2.0,,산1,nan,-1.5037003223638195
B,3.0,1.0,바다B,nan,-0.22787683927238792
A,1.0,,산2,a,1.0077721647662574
D,1.0,2.0,계곡1,nan,0.30797289600106903
A,1.0,3.0,DD산,nan,0.23583352238543584
C,,1.0,산1,nan,-0.2691175503029346
D,2.0,3.0,계곡1,b,-0.1785686951985137
D,,,계곡1,a,0.6436553563493663
A,3.0,1.0,바다1G,c,0.40535194269102054
E,1.0,3.0,산1,b,-2.2075338666668705
F,1.0,,산2,nan,-0.040225375546638506
C,,,계곡1,b,0.19395229910982295
C,3.0,3.0,산1,b,1.291112872525993
D,,,계곡1,nan,0.3480989600792464
B,3.0,2.0,바다2,b,-0.07199444496231798
D,2.0,1.0,DD산,nan,-2.8455481101109097
A,,2.0,DD산,nan,0.6553907932284359
D,,,산1,a,2.272931887390326
F,2.0,2.0,산1,c,-0.19968024197925183
C,,,산1,c,0.740118228600176
E,,2.0,계곡1,a,-1.5244358651210248
D,2.0,3.0,A산,nan,1.0564037648000162
D,1.0,1.0,산1,a,-1.0619085583854495
C,,2.0,바다1G,c,-0.3350912594581077
E,2.0,,바다B,a,0.5499855310562128
A,3.0,3.0,A산,nan,-0.048263182258969875
D,,,산2,b,-0.836978810678644
A,,3.0,바다B,b,-0.6141126520407431
E,3.0,,산2,c,1.6150668948584195
C,,3.0,A산,c,-0.34447769401655504
E,2.0,1.0,계곡1,c,0.3834657445928008
F,,2.0,바다1G,a,1.2238616902539015
E,,3.0,바다1G,nan,0.6157509275939265
A,1.0,,바다1G,nan,0.3660514144963958
B,2.0,,바다1G,c,0.7286079320274165
A,1.0,3.0,산1,nan,-1.3276620306866713
D,1.0,,DD산,a,0.3386223536741787
D,3.0,,DD산,b,0.20915014775420637
F,3.0,2.0,DD산,c,0.8545074656314945
E,2.0,1.0,계곡1,nan,1.7041883883025943
B,1.0,,바다B,a,-1.928373136329602
D,,2.0,A산,nan,-0.5916715608067581
E,1.0,,산2,nan,0.47103554656263913
F,3.0,3.0,계곡1,nan,0.610504687232146
F,1.0,,산1,b,0.6580831242811853
E,3.0,,산1,c,-0.265315456976175
D,1.0,,바다1G,b,-0.14793926344995167
C,2.0,,바다2,nan,-0.9470048611161908
C,1.0,,산1,c,-0.21559070294589552
A,2.0,,바다1G,nan,-0.35374967403368474
A,1.0,1.0,A산,nan,-0.5891270102875826
A,,2.0,바다1G,a,-0.5909738068473783
F,,,바다1G,a,0.3949922722761283
C,1.0,,바다2,a,-0.547338652925451
A,3.0,2.0,산1,b,-0.5241766863974356
E,3.0,1.0,계곡1,nan,0.27114909108702995
F,3.0,,산1,b,-0.27937780818529
F,3.0,3.0,DD산,c,-0.1492196148232341
D,1.0,,바다1G,nan,-0.9088671995078604
E,3.0,2.0,바다B,nan,0.36078393944756054
F,3.0,3.0,바다B,c,1.1768549267388864
E,3.0,1.0,바다1G,b,-1.398745453927398
D,1.0,,바다B,nan,0.8204479400875085
E,2.0,,계곡1,c,0.5811476714002952
F,3.0,2.0,계곡1,b,1.9936145174017634
C,2.0,2.0,산2,nan,-0.1081398271965831
F,,,계곡1,nan,-0.031445168185917666
D,3.0,1.0,바다2,nan,-0.5358730513313873
A,2.0,,바다B,b,0.30992074824937793
B,,3.0,산1,a,0.1805676269405349
E,1.0,,A산,nan,1.0777616598597102
E,1.0,3.0,A산,a,1.6293049455014148
F,1.0,,DD산,nan,0.3657604252058886
F,2.0,,산1,a,-2.389103894737718
D,2.0,3.0,산1,b,0.7357625235331845
C,2.0,3.0,바다B,a,1.087592054406923
A,1.0,,DD산,c,0.34351949944532834
D,,,바다B,c,2.0406753534947875
A,,,산1,nan,-0.8593571812775268
B,3.0,,산1,c,-0.055797291706696825
B,1.0,2.0,바다1G,nan,1.8076950185731728
A,3.0,,바다B,nan,0.09006166624476396
F,1.0,,바다2,nan,0.8006908000752373
E,3.0,3.0,바다2,c,0.4875106840370465
A,3.0,,DD산,nan,0.004772311445079613
E,3.0,3.0,계곡1,c,-0.8796675806839586
D,,,산2,nan,-0.9274946620793523
B,,,DD산,b,-0.34238696651870476
A,,1.0,산1,a,1.0218367644390742
F,3.0,,산2,nan,1.41082046604739
F,2.0,2.0,계곡1,b,-1.8253820345360399
D,2.0,2.0,계곡1,a,0.8708779135205765
B,3.0,,A산,nan,0.9956762658869445
C,1.0,1.0,산2,b,-1.692649650632344
B,3.0,1.0,산1,nan,-0.8819893486028321
D,,,DD산,b,-0.029925992319666948
B,1.0,,DD산,b,0.6567879681868803
F,1.0,,A산,nan,1.5245391287514867
D,,3.0,A산,nan,0.6670297298115176
C,,2.0,바다1G,a,-0.2436303793217647
E,3.0,1.0,산1,a,0.5689919633249794
A,1.0,2.0,바다B,c,0.5932084205212517
F,2.0,,A산,a,-0.05635788772175868
C,2.0,,바다1G,b,-0.27507092913171277
F,3.0,,DD산,b,0.18326193944063937
B,3.0,,바다1G,a,1.0034185480384368
B,1.0,,바다1G,c,1.6002512293619122
D,,1.0,DD산,c,0.1963060826432916
D,1.0,,계곡1,b,1.6153168489352319
E,2.0,3.0,바다1G,c,-0.7917956036570802
C,,1.0,산2,c,0.536938046785772
F,,1.0,DD산,nan,0.1993602207626748
C,,1.0,DD산,a,0.21332184821555356
E,,,DD산,a,-0.02545733031598513
D,1.0,3.0,바다B,b,1.7861696229247614
C,,1.0,바다2,b,-1.296453291427828
