상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,대지구분명,지번본번지,지번주소,도로명,건물본번지,도로명주소,경도,위도
네오스포부동산,부동산,부동산중개,부동산중개,부산광역시,부산진구,부전2동,부전동,대지,450,부산광역시 부산진구 부전동 450,부산광역시 부산진구 신천대로,122,부산광역시 부산진구 신천대로 122,129.054070308523,35.1536665769363
노래연습장,관광/여가/오락,무도/유흥/가무,노래방,부산광역시,사상구,모라1동,모라동,대지,979,부산광역시 사상구 모라동 979-2,부산광역시 사상구 모라로,69,부산광역시 사상구 모라로 69,128.988648526785,35.1882998937666
킹스포츠,소매,운동/경기용품소매,운동/경기용품,부산광역시,부산진구,부전1동,부전동,대지,486,부산광역시 부산진구 부전동 486-11,부산광역시 부산진구 서면문화로5번길,17,부산광역시 부산진구 서면문화로5번길 17,129.056664047591,35.1581870035476
신주례부부치과의원,의료,병원,치과의원,부산광역시,사상구,주례2동,주례동,대지,3,부산광역시 사상구 주례동 3-16,부산광역시 사상구 백양대로342번길,16,부산광역시 사상구 백양대로342번길 16,129.015166206709,35.1548190615061
풀무원건강보조식품,소매,건강/미용식품,건강식품판매,부산광역시,해운대구,좌2동,좌동,대지,1485,부산광역시 해운대구 좌동 1485-1,부산광역시 해운대구 세실로,39,부산광역시 해운대구 세실로 39,129.178677211076,35.1684998869929
꼬마대통령,학문/교육,유아교육,실내놀이터-유아,부산광역시,사상구,모라1동,모라동,대지,508,부산광역시 사상구 모라동 508-2,부산광역시 사상구 백양대로,893,부산광역시 사상구 백양대로 893,128.990727379496,35.1858851962316
반하다뷰티,생활서비스,이/미용/건강,비만/피부관리,부산광역시,부산진구,부전2동,부전동,대지,504,부산광역시 부산진구 부전동 504-4,부산광역시 부산진구 가야대로756번길,13,부산광역시 부산진구 가야대로756번길 13,129.054320792058,35.1569184265438
여기야생고기,음식,한식,갈비/삼겹살,부산광역시,사하구,장림1동,장림동,대지,325,부산광역시 사하구 장림동 325-86,부산광역시 사하구 장림번영로,47,부산광역시 사하구 장림번영로 47,128.970408260313,35.0808197800153
치르치르,음식,한식,한식/백반/한정식,부산광역시,사하구,하단2동,하단동,대지,498,부산광역시 사하구 하단동 498-1,부산광역시 사하구 낙동대로535번길,5,부산광역시 사하구 낙동대로535번길 5,128.964440264817,35.1113260385899
발롱,소매,의복의류,캐쥬얼/스포츠의류,부산광역시,사상구,괘법동,괘법동,대지,529,부산광역시 사상구 괘법동 529-1,부산광역시 사상구 광장로,7,부산광역시 사상구 광장로 7,128.977744017503,35.1643481538571
럭키엘,소매,의복의류,일반의류,부산광역시,사하구,하단2동,하단동,대지,494,부산광역시 사하구 하단동 494-3,부산광역시 사하구 낙동대로516번길,48,부산광역시 사하구 낙동대로516번길 48,128.966192251859,35.1129165932307
카페황금나무,음식,커피점/카페,커피전문점/카페/다방,부산광역시,사상구,덕포2동,덕포동,대지,404,부산광역시 사상구 덕포동 404-2,부산광역시 사상구 사상로342번길,8,부산광역시 사상구 사상로342번길 8,128.98474358285,35.1749730211344
본가아구찜,음식,한식,한식/백반/한정식,부산광역시,해운대구,재송2동,재송동,대지,1025,부산광역시 해운대구 재송동 1025-12,부산광역시 해운대구 해운대로81번가길,53,부산광역시 해운대구 해운대로81번가길 53,129.124230834516,35.1916421300748
선진스포츠,소매,운동/경기용품소매,운동/경기용품,부산광역시,사상구,주례3동,주례동,대지,1162,부산광역시 사상구 주례동 1162-170,부산광역시 사상구 가야대로,278,부산광역시 사상구 가야대로 278-2,129.003080780543,35.1502324484553
이지메이크업,생활서비스,이/미용/건강,여성미용실,부산광역시,부산진구,부전2동,부전동,대지,504,부산광역시 부산진구 부전동 504-24,부산광역시 부산진구 부전로,75,부산광역시 부산진구 부전로 75,129.054605314348,35.1568528527213
금산인삼,소매,건강/미용식품,건강식품판매,부산광역시,해운대구,우2동,우동,대지,1092,부산광역시 해운대구 우동 1092-19,부산광역시 해운대구 해운대로383번길,31,부산광역시 해운대구 해운대로383번길 31,129.139186527346,35.17043709939
스펀지피시방,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,부산광역시,사상구,덕포1동,덕포동,대지,421,부산광역시 사상구 덕포동 421-27,부산광역시 사상구 사상로,297,부산광역시 사상구 사상로 297,128.982822884992,35.171365003509
괴정열쇠,생활서비스,개인/가정용품수리,열쇠제작,부산광역시,사하구,괴정3동,괴정동,대지,429,부산광역시 사하구 괴정동 429-51,부산광역시 사하구 낙동대로,191,부산광역시 사하구 낙동대로 191-1,128.995752728477,35.1009140359566
벽산초록어린이집,학문/교육,유아교육,어린이집,부산광역시,해운대구,좌2동,좌동,대지,1439,부산광역시 해운대구 좌동 1439,부산광역시 해운대구 좌동순환로299번길,11,부산광역시 해운대구 좌동순환로299번길 11,129.185070746841,35.1695912698991
약석피부관리실,생활서비스,이/미용/건강,비만/피부관리,부산광역시,사하구,하단1동,하단동,대지,1176,부산광역시 사하구 하단동 1176,부산광역시 사하구 하신중앙로,265,부산광역시 사하구 하신중앙로 265,128.958514989264,35.099943163647
오아시스,음식,유흥주점,호프/맥주,부산광역시,부산진구,전포1동,전포동,대지,882,부산광역시 부산진구 전포동 882-3,부산광역시 부산진구 전포대로175번길,43,부산광역시 부산진구 전포대로175번길 43,129.062786528851,35.1521211635926
맛짱,소매,음/식료품소매,식료품점,부산광역시,사하구,다대2동,다대동,대지,86,부산광역시 사하구 다대동 86-5,부산광역시 사하구 다송로,13,부산광역시 사하구 다송로 13,128.981362337727,35.0661197439335
1960깡통치킨,음식,유흥주점,호프/맥주,부산광역시,해운대구,반여2동,반여동,대지,1291,부산광역시 해운대구 반여동 1291-1049,부산광역시 해운대구 해운대로61번길,108,부산광역시 해운대구 해운대로61번길 108,129.130048158559,35.194652677296
미화당훼미리마트,소매,종합소매점,수퍼마켓,부산광역시,사하구,하단1동,하단동,대지,609,부산광역시 사하구 하단동 609-38,부산광역시 사하구 동매로,66,부산광역시 사하구 동매로 66,128.965338506897,35.1028456492165
삭개오,소매,의복의류,일반의류,부산광역시,사상구,모라1동,모라동,대지,1362,부산광역시 사상구 모라동 1362,부산광역시 사상구 백양대로,880,부산광역시 사상구 백양대로 880,128.991308797662,35.1831311844245
청어람단과학원,학문/교육,학원-보습교습입시,학원-입시,부산광역시,부산진구,부전1동,부전동,대지,401,부산광역시 부산진구 부전동 401-5,부산광역시 부산진구 새싹로,39,부산광역시 부산진구 새싹로 39-1,129.056195912816,35.1610304712646
현이농산,소매,음/식료품소매,청과물소매,부산광역시,사상구,학장동,학장동,대지,235,부산광역시 사상구 학장동 235-5,부산광역시 사상구 새벽로18번길,13,부산광역시 사상구 새벽로18번길 13,128.981270407829,35.1435603945183
인력모집,생활서비스,인력/고용/용역알선,인력공급/고용알선,부산광역시,사상구,덕포2동,덕포동,대지,394,부산광역시 사상구 덕포동 394-10,부산광역시 사상구 사상로,335,부산광역시 사상구 사상로 335,128.983904758654,35.1746012508893
상구야치킨호프,음식,닭/오리요리,후라이드/양념치킨,부산광역시,사상구,모라1동,모라동,대지,1053,부산광역시 사상구 모라동 1053,부산광역시 사상구 모라로,74,부산광역시 사상구 모라로 74-1,128.988334677796,35.1877706325743
동아대합기스쿨,학문/교육,학원-예능취미체육,합기도장,부산광역시,해운대구,반여1동,반여동,대지,1405,부산광역시 해운대구 반여동 1405-55,부산광역시 해운대구 선수촌로,41,부산광역시 해운대구 선수촌로 41,129.118318116508,35.1976640176698
바나나롱갤러리,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
태을한의원,의료,병원,한의원,부산광역시,해운대구,중1동,중동,대지,1153,부산광역시 해운대구 중동 1153-8,부산광역시 해운대구 해운대해변로,326,부산광역시 해운대구 해운대해변로 326,129.165953723065,35.1622773073469
세븐헤어&메이크업,생활서비스,이/미용/건강,여성미용실,부산광역시,부산진구,개금1동,개금동,대지,875,부산광역시 부산진구 개금동 875,부산광역시 부산진구 가야대로,450,부산광역시 부산진구 가야대로 450,129.02112153646,35.1527138324947
피자1번가,음식,패스트푸드,패스트푸드,부산광역시,사하구,괴정4동,괴정동,대지,581,부산광역시 사하구 괴정동 581-24,부산광역시 사하구 낙동대로323번길,21,부산광역시 사하구 낙동대로323번길 21,128.981482238982,35.0990202601731
코코호텔,숙박,모텔/여관/여인숙,모텔/여관/여인숙,부산광역시,해운대구,송정동,송정동,대지,206,부산광역시 해운대구 송정동 206-10,부산광역시 해운대구 송정중앙로39번길,2,부산광역시 해운대구 송정중앙로39번길 2-13,129.205357107186,35.1822627271597
애플노래연습장,관광/여가/오락,무도/유흥/가무,노래방,부산광역시,사상구,주례2동,주례동,대지,55,부산광역시 사상구 주례동 55-175,부산광역시 사상구 냉정로,123,부산광역시 사상구 냉정로 123,129.013501137931,35.1497671476316
우텐더해운대,음식,한식,기타고기요리,부산광역시,해운대구,우1동,우동,대지,634,부산광역시 해운대구 우동 634-3,부산광역시 해운대구 해운대로570번길,45,부산광역시 해운대구 해운대로570번길 45,129.1590755252,35.1602340792365
스페인당구장,관광/여가/오락,PC/오락/당구/볼링등,당구장,부산광역시,사상구,주례2동,주례동,대지,166,부산광역시 사상구 주례동 166-197,부산광역시 사상구 주례로,62,부산광역시 사상구 주례로 62,129.009722263428,35.1468150685424
동강원,음식,중식,중국음식/중국집,부산광역시,사상구,학장동,학장동,대지,246,부산광역시 사상구 학장동 246-3,부산광역시 사상구 대동로,237,부산광역시 사상구 대동로 237,128.985072452266,35.1485323221393
이프네,생활서비스,광고/인쇄,인쇄종합,부산광역시,해운대구,우2동,우동,대지,1496,부산광역시 해운대구 우동 1496,부산광역시 해운대구 센텀남대로,59,부산광역시 해운대구 센텀남대로 59,129.131099324358,35.1698729034813
CU,소매,종합소매점,편의점,부산광역시,부산진구,부암3동,부암동,대지,500,부산광역시 부산진구 부암동 500-6,부산광역시 부산진구 백양순환로,89,부산광역시 부산진구 백양순환로 89,129.036906495757,35.1702200510543
오니츠카타이거,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
센텀분석수학학원,학문/교육,학원-보습교습입시,학원-입시,부산광역시,해운대구,우2동,우동,대지,1504,부산광역시 해운대구 우동 1504,부산광역시 해운대구 센텀2로,19,부산광역시 해운대구 센텀2로 19,129.132602586612,35.1674521641499
초록마취통증의학과내과의원,의료,병원,기타병원,부산광역시,사상구,학장동,학장동,대지,797,부산광역시 사상구 학장동 797-1,부산광역시 사상구 대동로,95,부산광역시 사상구 대동로 95,128.977951071784,35.1385393751164
갈비삼겹낭자도령,음식,한식,갈비/삼겹살,부산광역시,해운대구,우1동,우동,대지,453,부산광역시 해운대구 우동 453-7,부산광역시 해운대구 우동1로20번가길,46,부산광역시 해운대구 우동1로20번가길 46,129.158401490531,35.1668837052574
대우인쇄지기,생활서비스,광고/인쇄,인쇄종합,부산광역시,사하구,구평동,구평동,대지,435,부산광역시 사하구 구평동 435-32,부산광역시 사하구 두송로146번길,73,부산광역시 사하구 두송로146번길 73,128.985832701474,35.0704463280492
해신생선구이,음식,일식/수산물,갈치/생선구이,부산광역시,사하구,다대2동,다대동,대지,1577,부산광역시 사하구 다대동 1577-3,부산광역시 사하구 다송로68번길,22,부산광역시 사하구 다송로68번길 22,128.982733027285,35.0615655237031
삼억,음식,분식,라면김밥분식,부산광역시,부산진구,양정1동,양정동,대지,356,부산광역시 부산진구 양정동 356-6,부산광역시 부산진구 진남로,505,부산광역시 부산진구 진남로 505-1,129.071012645864,35.1693103586842
용궁해물탕,음식,일식/수산물,해물찜/탕전문,부산광역시,부산진구,부전1동,부전동,대지,475,부산광역시 부산진구 부전동 475-17,부산광역시 부산진구 서면문화로5번길,10,부산광역시 부산진구 서면문화로5번길 10,129.057204953636,35.1584256606284
애플스포츠마사지,관광/여가/오락,요가/단전/마사지,스포츠마사지,부산광역시,부산진구,부전2동,부전동,대지,520,부산광역시 부산진구 부전동 520-5,부산광역시 부산진구 가야대로784번길,60,부산광역시 부산진구 가야대로784번길 60,129.057037713162,35.1548305633268
국대포차,음식,유흥주점,소주방/포장마차,부산광역시,해운대구,우1동,우동,대지,874,부산광역시 해운대구 우동 874,부산광역시 해운대구 동백로29번길,21,부산광역시 해운대구 동백로29번길 21-2,129.153549853341,35.1598992258971
주례옥산유기농,소매,음/식료품소매,유기농식품판매,부산광역시,사상구,주례3동,주례동,대지,595,부산광역시 사상구 주례동 595,부산광역시 사상구 가야대로284번길,2,부산광역시 사상구 가야대로284번길 2,129.003624488447,35.1498223166892
뉴삼성공인중개사사무소,부동산,부동산중개,부동산중개,부산광역시,부산진구,가야1동,가야동,대지,50,부산광역시 부산진구 가야동 50-30,부산광역시 부산진구 가야대로,633,부산광역시 부산진구 가야대로 633,129.041081116579,35.1558250500673
국수가게,음식,분식,국수/만두/칼국수,부산광역시,부산진구,부전2동,부전동,대지,519,부산광역시 부산진구 부전동 519-5,부산광역시 부산진구 가야대로784번길,52,부산광역시 부산진구 가야대로784번길 52,129.057140911337,35.1551721922154
진떡떡방앗간,생활서비스,세탁/가사서비스,방앗간/정미소,부산광역시,사하구,하단2동,하단동,대지,500,부산광역시 사하구 하단동 500-29,부산광역시 사하구 낙동대로535번길,33,부산광역시 사하구 낙동대로535번길 33,128.962748968731,35.1111592007009
감천도시곤충농장,소매,선물/팬시/기념품,기념패/휘장,부산광역시,사하구,감천2동,감천동,대지,2,부산광역시 사하구 감천동 2-7,부산광역시 사하구 감내2로,177,부산광역시 사하구 감내2로 177-3,129.010528226415,35.0983489751459
이삭토스트&커피,음식,패스트푸드,토스트전문,부산광역시,사하구,괴정3동,괴정동,대지,955,부산광역시 사하구 괴정동 955-2,부산광역시 사하구 사하로,184,부산광역시 사하구 사하로 184,128.994161687218,35.098150759417
해물장터,음식,일식/수산물,수산물전문음식점-종합,부산광역시,부산진구,부전1동,부전동,대지,486,부산광역시 부산진구 부전동 486-6,부산광역시 부산진구 가야대로,783,부산광역시 부산진구 가야대로 783,129.057265437218,35.1580104923281
초원농원,소매,선물/팬시/기념품,꽃집/꽃배달,부산광역시,해운대구,반송1동,석대동,대지,506,부산광역시 해운대구 석대동 506,부산광역시 해운대구 반송로,560,부산광역시 해운대구 반송로 560,129.124290824234,35.2183043581909
서영카오디오,소매,자동차/자동차용품,자동차부품판매,부산광역시,해운대구,재송1동,재송동,대지,380,부산광역시 해운대구 재송동 380-22,부산광역시 해운대구 해운대로161번길,30,부산광역시 해운대구 해운대로161번길 30,129.124933908098,35.184496662181
라코스테슈즈,소매,가방/신발/액세서리,신발소매,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
신보성,음식,한식,한식/백반/한정식,부산광역시,부산진구,부전2동,부전동,대지,522,부산광역시 부산진구 부전동 522-14,부산광역시 부산진구 서면로,15,부산광역시 부산진구 서면로 15-8,129.057454884483,35.1522940086017
화미주헤어피아,생활서비스,이/미용/건강,여성미용실,부산광역시,부산진구,부전2동,부전동,대지,517,부산광역시 부산진구 부전동 517-42,부산광역시 부산진구 서면로,47,부산광역시 부산진구 서면로 47,129.057599146525,35.1549608727362
팝아이,소매,의복의류,아동복판매,부산광역시,부산진구,부전1동,부전동,대지,27,부산광역시 부산진구 부전동 27-1,부산광역시 부산진구 부전로,196,부산광역시 부산진구 부전로 196,129.062561550937,35.1635167304837
365편의점,소매,종합소매점,편의점,부산광역시,해운대구,우2동,우동,대지,1500,부산광역시 해운대구 우동 1500,부산광역시 해운대구 APEC로,55,부산광역시 해운대구 APEC로 55,129.13603906341,35.1690785295441
릴라사멘토,소매,가방/신발/액세서리,신발소매,부산광역시,부산진구,부전1동,부전동,대지,259,부산광역시 부산진구 부전동 259-18,부산광역시 부산진구 새싹로,5,부산광역시 부산진구 새싹로 5-1,129.058238673909,35.1585788863222
장산타이맛사지,생활서비스,이/미용/건강,비만/피부관리,부산광역시,해운대구,좌1동,좌동,대지,1461,부산광역시 해운대구 좌동 1461-3,부산광역시 해운대구 좌동로,96,부산광역시 해운대구 좌동로 96,129.175636324032,35.1722971990157
볼원볼링센터,관광/여가/오락,PC/오락/당구/볼링등,볼링장,부산광역시,해운대구,우2동,우동,대지,1468,부산광역시 해운대구 우동 1468,부산광역시 해운대구 센텀서로,30,부산광역시 해운대구 센텀서로 30,129.128462304753,35.1720788458596
도야치킨,음식,닭/오리요리,후라이드/양념치킨,부산광역시,부산진구,범천1동,범천동,대지,851,부산광역시 부산진구 범천동 851-1,부산광역시 부산진구 황령대로18번길,37,부산광역시 부산진구 황령대로18번길 37,129.061472162843,35.1464088384708
개코공구철물,소매,가정/주방/인테리어,유리/페인트/철물건축자재,부산광역시,해운대구,우1동,우동,대지,797,부산광역시 해운대구 우동 797,부산광역시 해운대구 해운대로,538,부산광역시 해운대구 해운대로 538,129.150806222729,35.1599253193082
에듀플렉스다대,학문/교육,학원-보습교습입시,학원-입시,부산광역시,사하구,다대2동,다대동,대지,309,부산광역시 사하구 다대동 309-2,부산광역시 사하구 다대로,483,부산광역시 사하구 다대로 483,128.976350802188,35.061418751224
북성석쇠불고기,음식,한식,갈비/삼겹살,부산광역시,부산진구,전포1동,전포동,대지,358,부산광역시 부산진구 전포동 358-9,부산광역시 부산진구 동성로30번길,4,부산광역시 부산진구 동성로30번길 4,129.068549641534,35.1530529919048
제이루즈,소매,시계/귀금속소매,시계/귀금속,부산광역시,부산진구,범천1동,범천동,대지,721,부산광역시 부산진구 범천동 721-92,부산광역시 부산진구 범일로,140,부산광역시 부산진구 범일로 140-3,129.059688067586,35.1425394456558
늘푸른약국,의료,약국/한약방,약국,부산광역시,사상구,학장동,학장동,대지,574,부산광역시 사상구 학장동 574-5,부산광역시 사상구 대동로,137,부산광역시 사상구 대동로 137,128.98216532029,35.1404072517763
진영수산,음식,일식/수산물,음식점-일식,부산광역시,사하구,구평동,구평동,대지,494,부산광역시 사하구 구평동 494,부산광역시 사하구 감천항로,515,부산광역시 사하구 감천항로 515,128.999309145958,35.0489725708147
오박사왕족발,음식,한식,족발/보쌈전문,부산광역시,부산진구,개금1동,개금동,대지,176,부산광역시 부산진구 개금동 176-2,부산광역시 부산진구 가야대로482번길,35,부산광역시 부산진구 가야대로482번길 35,129.024814821845,35.1514116811612
Mr.콩나물해장국,음식,한식,해장국/감자탕,부산광역시,부산진구,개금2동,개금동,대지,566,부산광역시 부산진구 개금동 566-23,부산광역시 부산진구 엄광로44번길,39,부산광역시 부산진구 엄광로44번길 39,129.021812197105,35.1465063980352
향,소매,음/식료품소매,식료품점,부산광역시,사하구,구평동,구평동,대지,101,부산광역시 사하구 구평동 101-33,부산광역시 사하구 을숙도대로755번길,15,부산광역시 사하구 을숙도대로755번길 15-8,128.987268588455,35.0877056748205
썬더치킨,음식,닭/오리요리,후라이드/양념치킨,부산광역시,해운대구,반송2동,반송동,대지,62,부산광역시 해운대구 반송동 62-355,부산광역시 해운대구 반송로924번길,24,부산광역시 해운대구 반송로924번길 24,129.156618300456,35.2316015282005
땅땅치킨가야동의대점,음식,닭/오리요리,후라이드/양념치킨,부산광역시,부산진구,가야1동,가야동,대지,460,부산광역시 부산진구 가야동 460-20,부산광역시 부산진구 엄광로178번길,3,부산광역시 부산진구 엄광로178번길 3,129.034192528135,35.14747402616
하동재첩국,음식,한식,기타고기요리,부산광역시,사상구,삼락동,삼락동,대지,70,부산광역시 사상구 삼락동 70-21,부산광역시 사상구 낙동대로1518번길,33,부산광역시 사상구 낙동대로1518번길 33,128.985855952187,35.1934515923891
풍미,음식,한식,한식/백반/한정식,부산광역시,사상구,모라1동,모라동,대지,1349,부산광역시 사상구 모라동 1349-12,부산광역시 사상구 백양대로907번가길,64,부산광역시 사상구 백양대로907번가길 64,128.991318967488,35.1902971876903
대구안지랑막창,음식,한식,곱창/양구이전문,부산광역시,사하구,하단2동,하단동,대지,515,부산광역시 사하구 하단동 515-23,부산광역시 사하구 낙동남로1389번길,10,부산광역시 사하구 낙동남로1389번길 10-3,128.964225623973,35.1070730989138
아리따움,소매,화장품소매,화장품판매점,부산광역시,사상구,모라3동,모라동,대지,552,부산광역시 사상구 모라동 552,부산광역시 사상구 모라로110번길,85,부산광역시 사상구 모라로110번길 85,128.995499532479,35.1846562244993
강남여인숙,숙박,모텔/여관/여인숙,모텔/여관/여인숙,부산광역시,사상구,괘법동,괘법동,대지,270,부산광역시 사상구 괘법동 270-2,부산광역시 사상구 광장로81번길,76,부산광역시 사상구 광장로81번길 76,128.98388627619,35.1657767183408
주우관리,생활서비스,세탁/가사서비스,청소/소독,부산광역시,부산진구,양정1동,양정동,대지,362,부산광역시 부산진구 양정동 362-5,부산광역시 부산진구 양지로5번길,6,부산광역시 부산진구 양지로5번길 6,129.069900404465,35.1698790488568
수영본가돼지국밥,음식,한식,해장국/감자탕,부산광역시,부산진구,부전2동,부전동,대지,255,부산광역시 부산진구 부전동 255-13,부산광역시 부산진구 서면로68번길,25,부산광역시 부산진구 서면로68번길 25,129.058588343261,35.1559167240028
A+,음식,양식,정통양식/경양식,부산광역시,부산진구,양정1동,양정동,대지,365,부산광역시 부산진구 양정동 365-9,부산광역시 부산진구 양지로,18,부산광역시 부산진구 양지로 18-1,129.069609830262,35.168646711271
현대전기제작소,소매,가정/주방/인테리어,조명기구/전기용품,부산광역시,사하구,구평동,구평동,대지,101,부산광역시 사하구 구평동 101-34,부산광역시 사하구 을숙도대로755번길,15,부산광역시 사하구 을숙도대로755번길 15-4,128.987243182027,35.0874174306848
비파와수금현학사,소매,취미/오락관련소매,악기판매,부산광역시,해운대구,좌4동,좌동,대지,1429,부산광역시 해운대구 좌동 1429-6,부산광역시 해운대구 좌동순환로,237,부산광역시 해운대구 좌동순환로 237,129.180555076307,35.17462899522
YJ헤어,생활서비스,이/미용/건강,여성미용실,부산광역시,사하구,괴정4동,괴정동,대지,553,부산광역시 사하구 괴정동 553-22,부산광역시 사하구 장평로,447,부산광역시 사하구 장평로 447-1,128.986407164305,35.0981329689336
카시나,소매,의복의류,캐쥬얼/스포츠의류,부산광역시,부산진구,부전2동,부전동,대지,573,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 부전로,187,부산광역시 부산진구 부전로 187,129.061215681513,35.1638440145745
박상현헤어펌,생활서비스,이/미용/건강,여성미용실,부산광역시,사하구,다대2동,다대동,대지,82,부산광역시 사하구 다대동 82-7,부산광역시 사하구 다대로,395,부산광역시 사하구 다대로 395,128.979397815237,35.0677852084743
은성마린,관광/여가/오락,스포츠/운동,실내낚시,부산광역시,사하구,구평동,구평동,대지,38,부산광역시 사하구 구평동 38-17,부산광역시 사하구 감천항로,70,부산광역시 사하구 감천항로 70,128.994603319981,35.0848423542656
신용오토바이종합상사,생활서비스,자동차/이륜차,자전거판매/수리,부산광역시,부산진구,당감1동,당감동,대지,369,부산광역시 부산진구 당감동 369-1,부산광역시 부산진구 동평로,39,부산광역시 부산진구 동평로 39,129.03400888097,35.165052794479
루비,음식,한식,한식/백반/한정식,부산광역시,해운대구,반송1동,반송동,대지,275,부산광역시 해운대구 반송동 275-400,부산광역시 해운대구 아랫반송로21번길,110,부산광역시 해운대구 아랫반송로21번길 110,129.148782244149,35.2282509371412
한양양꼬치,음식,유흥주점,꼬치구이전문점,부산광역시,사하구,감천1동,감천동,대지,479,부산광역시 사하구 감천동 479-14,부산광역시 사하구 감천로,119,부산광역시 사하구 감천로 119,129.00481631496,35.0878139307264
헤어미잉,생활서비스,광고/인쇄,인쇄종합,부산광역시,해운대구,좌2동,좌동,대지,1443,부산광역시 해운대구 좌동 1443-4,부산광역시 해운대구 좌동순환로,305,부산광역시 해운대구 좌동순환로 305,129.183293213665,35.1688875449045
강서할인마트,소매,종합소매점,종합소매,부산광역시,사하구,괴정2동,괴정동,대지,88,부산광역시 사하구 괴정동 88-1,부산광역시 사하구 대티로,80,부산광역시 사하구 대티로 80,129.007977778602,35.1067803160031
서원탑훼미리마트,소매,종합소매점,편의점,부산광역시,사상구,엄궁동,엄궁동,대지,216,부산광역시 사상구 엄궁동 216-1,부산광역시 사상구 엄궁로191번길,103,부산광역시 사상구 엄궁로191번길 103-3,128.971205703052,35.1258748075157
신광조명,소매,가정/주방/인테리어,조명기구/전기용품,부산광역시,사하구,괴정1동,괴정동,대지,812,부산광역시 사하구 괴정동 812-5,부산광역시 사하구 낙동대로250번길,11,부산광역시 사하구 낙동대로250번길 11,128.989653957561,35.0999724240438
본동오륙도횟집,음식,일식/수산물,횟집,부산광역시,사하구,다대1동,다대동,대지,355,부산광역시 사하구 다대동 355-36,부산광역시 사하구 다대동로8번길,81,부산광역시 사하구 다대동로8번길 81,128.973438271823,35.0571063544598
